Average Rouge-1 Score (SENTENCE),Average Rouge-2 Score (SENTENCE),Average Rouge-L Score (SENTENCE),Average Levenshtein (SENTENCE),Cosine Similarity (SENTENCE),Number of Samples,model
0.999999995,0.9926470538237697,0.999999995,1.875,0.999825119972229,8,GPT3-part-3
0.999999995,0.999999995,0.999999995,0.0,1.0,1,GPT3-part-3
0.999999995,0.999999995,0.999999995,0.0,1.0,3,GPT3-part-3
0.999999995,0.999999995,0.999999995,0.0,1.0,1,GPT3-part-3
0.9999999949999999,0.9947368371057247,0.9999999949999999,0.16666666666666666,0.9998271564642588,30,GPT3-part-3
0.9971428521430838,0.9879563442085272,0.9971428521430838,0.84,0.9994617879390717,50,GPT3-part-3
0.9999999949999999,0.9999999949999999,0.9999999949999999,0.0,0.9999999403953552,6,GPT3-part-3
0.9934754190982719,0.9595640623829819,0.9934754190982719,5.136363636363637,0.9982186284932223,22,GPT3-part-3
0.999999995,0.999999995,0.999999995,0.0,1.0,1,GPT3-part-3
0.9905764466538206,0.9799594528708597,0.9905764466538206,3.696969696969697,0.9965172373887264,66,GPT3-part-3
0.999999995,0.8695652124007562,0.999999995,10.0,0.9965250492095947,1,GPT3-part-3
0.999999995,0.9565217341335854,0.999999995,7.666666666666667,0.9913209279378256,3,GPT3-part-3
0.9964668700389704,0.9893728173031434,0.9964668700389704,0.6224489795918368,0.998458986987873,98,GPT3-part-3
0.999999995,0.999999995,0.999999995,0.0,1.0,1,GPT3-part-3
0.9957034256516692,0.9851592412897265,0.9957034256516692,1.7568493150684932,0.9983456185827516,292,GPT3-part-3
