Average Rouge-1 Score (C),Average Rouge-2 Score (C),Average Rouge-L Score (C),Average Levenshtein (C),Weighted Avg. Percentage Skills (C),Cosine Similarity (C),Number of Samples,model
0.7499999956250001,0.6041666630208333,0.7499999956250001,0.0,0.8888888888888888,0.9999999645210449,8,GPT3-part-3
0.999999995,0.3333333316666667,0.999999995,0.0,1.0,0.9999998807907104,1,GPT3-part-3
0.999999995,0.8888888844444445,0.999999995,0.0,1.0,0.9999999536408318,3,GPT3-part-3
0.999999995,0.999999995,0.999999995,0.0,1.0,1.0000000894069672,1,GPT3-part-3
0.9999999949999999,0.6666666633333332,0.9999999949999999,0.0,1.0,1.000000003973643,30,GPT3-part-3
0.957999995102,0.94999999515,0.957999995102,0.24,0.9714285714285714,0.9995273721664131,50,GPT3-part-3
0.9999999949999999,0.9999999949999999,0.9999999949999999,0.0,1.0,0.9999999652306238,6,GPT3-part-3
0.7515716562142439,0.7059228608426726,0.7515716562142439,4.2272727272727275,0.7346938775510204,0.9849687824646634,22,GPT3-part-3
0.999999995,0.999999995,0.999999995,0.0,1.0,1.0000001192092896,1,GPT3-part-3
0.9476190427463087,0.9239898942528619,0.9476190427463087,2.287878787878788,0.9090909090909091,0.9931800898277399,66,GPT3-part-3
0.749999995,0.4999999975,0.749999995,10.0,0.5,0.9676410853862762,1,GPT3-part-3
0.8571428524489796,0.4666666639333334,0.8571428524489796,7.666666666666667,0.6666666666666666,0.9854039351145426,3,GPT3-part-3
0.9489795869501131,0.9387755054081629,0.9489795869501131,0.336734693877551,0.9595959595959596,0.9989294099311034,98,GPT3-part-3
0.999999995,0.4999999975,0.999999995,0.0,1.0,0.9999998807907104,1,GPT3-part-3
0.9359550028476977,0.8741334533482681,0.9359550028476977,1.1027397260273972,0.9251870324189526,0.9966684564739674,292,GPT3-part-3
