Average Rouge-1 Score (ALL),Average Rouge-2 Score (ALL),Average Rouge-L Score (ALL),Average Levenshtein (ALL),Weighted Avg. Percentage Skills (ALL),Cosine Similarity (ALL),Number of Samples,model
0.9999999949999999,0.7266666630333334,0.9999999949999999,0.0,1.0,1.0000000383456549,5,GPT3-part-2
0.9277777729768518,0.663131309746212,0.9277777729768518,2.4166666666666665,0.9180327868852459,0.9926272674416653,12,GPT3-part-2
0.9999999949999998,0.4489316216869659,0.9999999949999998,0.0,1.0,0.9999999915814807,26,GPT3-part-2
0.9902438974682928,0.939953537692799,0.9902438974682928,1.0731707317073171,0.9880239520958084,0.9995129365815796,41,GPT3-part-2
0.999999995,0.999999995,0.999999995,0.0,1.0,1.0000000794728598,2,GPT3-part-2
0.901515146969697,0.893939389469697,0.901515146969697,1.0,0.9166666666666666,0.9882653281544194,11,GPT3-part-2
0.9883928521804562,0.9475552673308657,0.9883928521804562,0.6964285714285714,0.9583333333333334,0.9985656593172322,56,GPT3-part-2
0.999999995,0.999999995,0.999999995,0.0,1.0,0.9999999006589254,1,GPT3-part-2
0.9444444397222223,0.5629629601481481,0.9444444397222223,2.5555555555555554,0.96,0.9968069694660328,9,GPT3-part-2
0.9933065545922577,0.9158060768864885,0.9933065545922577,0.1566265060240964,0.9959677419354839,0.9996686074833588,83,GPT3-part-2
0.9828404968546444,0.848560049041643,0.9828404968546444,0.6975806451612904,0.9747899159663865,0.9984123721938495,248,GPT3-part-2
