Average Rouge-1 Score (ALL),Average Rouge-2 Score (ALL),Average Rouge-L Score (ALL),Average Levenshtein (ALL),Weighted Avg. Percentage Skills (ALL),Cosine Similarity (ALL),Number of Samples,model
0.9156249953187501,0.6666666633333334,0.9156249953187501,0.0,0.9393939393939394,0.9928216251234213,8,GPT3-part-3
0.999999995,0.4999999975,0.999999995,0.0,1.0,0.999999925494194,1,GPT3-part-3
0.9999999949999999,0.8111111070555556,0.9999999949999999,0.0,1.0,0.9999999483426412,3,GPT3-part-3
0.999999995,0.999999995,0.999999995,0.0,1.0,1.0000000894069672,1,GPT3-part-3
0.9972222172268518,0.5749999971249999,0.9972222172268518,0.16666666666666666,0.989247311827957,0.9992660229570335,30,GPT3-part-3
0.9871481431606707,0.9570952332430953,0.9871481431606707,0.32,0.975,0.9985942789032345,50,GPT3-part-3
0.9999999949999999,0.9999999949999999,0.9999999949999999,0.0,1.0,0.999999980131785,6,GPT3-part-3
0.9173022637238095,0.8532123136211118,0.9173022637238095,4.7727272727272725,0.898989898989899,0.9871758305794235,22,GPT3-part-3
0.999999995,0.999999995,0.999999995,0.0,1.0,1.0000000596046448,1,GPT3-part-3
0.9690115390962604,0.9071248150306518,0.9690115390962604,2.984848484848485,0.96045197740113,0.995767586404111,66,GPT3-part-3
0.874999995,0.74999999625,0.874999995,10.0,0.75,0.9838205277919769,1,GPT3-part-3
0.9285714237244899,0.7333333294666667,0.9285714237244899,7.666666666666667,0.8333333333333334,0.992701937754949,3,GPT3-part-3
0.993021806920724,0.9446711970886619,0.993021806920724,0.5918367346938775,0.9823321554770318,0.9989418210761617,98,GPT3-part-3
0.9999999949999998,0.28571428428571427,0.9999999949999998,0.0,1.0,0.9999999744551522,1,GPT3-part-3
0.9784634804591454,0.8795405083272266,0.9784634804591454,1.417808219178082,0.9663512092534174,0.9970788393910001,292,GPT3-part-3
