Average Rouge-1 Score (SENTENCE),Average Rouge-2 Score (SENTENCE),Average Rouge-L Score (SENTENCE),Average Levenshtein (SENTENCE),Cosine Similarity (SENTENCE),Number of Samples,model
0.999999995,0.999999995,0.999999995,1.0,0.9999998807907104,1,mT5_XL
0.9689299466918682,0.9163811228337714,0.9689299466918682,8.5,0.99514240026474,10,mT5_XL
0.9837363863753582,0.9523591595300075,0.9837363863753582,3.3684210526315788,0.9928103904975089,19,mT5_XL
0.9946112660819563,0.9840121881128473,0.9946112660819563,3.5588235294117645,0.9966318326837876,34,mT5_XL
0.9890909040916362,0.9489921792889914,0.9830302980310303,4.0,0.9971001961014487,11,mT5_XL
0.9804441657884135,0.9575691607877385,0.9804441657884135,3.2641509433962264,0.9873592190022739,53,mT5_XL
0.999999995,0.9565217341335854,0.999999995,12.333333333333334,0.9905968507130941,3,mT5_XL
0.974783251209467,0.9559344579948615,0.974783251209467,7.5396825396825395,0.988621249085381,63,mT5_XL
0.9818049199375758,0.9589670010012856,0.9814630395956955,5.133333333333334,0.9910429416558681,195,mT5_XL
