Average Rouge-1 Score (C),Average Rouge-2 Score (C),Average Rouge-L Score (C),Average Levenshtein (C),Weighted Avg. Percentage Skills (C),Cosine Similarity (C),Number of Samples,model
0.999999995,0.4999999975,0.999999995,0.0,1.0,1.0000001192092896,1,mT5_XL
0.38333333091975313,0.26190476049319733,0.38333333091975313,39.1,0.44,0.9269505361715952,10,mT5_XL
0.456140348508772,0.28947368263157897,0.456140348508772,17.210526315789473,0.42105263157894735,0.9506430531802931,19,mT5_XL
0.8043226337878792,0.7620798278951488,0.8043226337878792,12.323529411764707,0.7808219178082192,0.972094567236947,34,mT5_XL
0.5101010064846381,0.33126721561106937,0.5101010064846381,34.81818181818182,0.4782608695652174,0.9455535511175792,11,mT5_XL
0.59622724873681,0.5014150907298859,0.59622724873681,14.943396226415095,0.2857142857142857,0.9579117264387742,53,mT5_XL
0.4074074050823045,0.0,0.4074074050823045,19.333333333333332,0.3333333333333333,0.9440140525499979,3,mT5_XL
0.6119047584763891,0.5423280395282188,0.6119047584763891,10.952380952380953,0.5,0.9633155313749162,63,mT5_XL
0.6042581883502227,0.5072582943156437,0.6042581883502227,15.835897435897436,0.5205992509363296,0.9581829836480638,195,mT5_XL
